,ABBV.N,ABT.N,ADM.N,ADP.O,AFL.N,ALB.N,AMCR.N,AOS.N,APD.N,ATO.N,BDX.N,BEN.N,BFb.N,BRO.N,CAH.N,CAT.N,CB.N,CHD.N,CHRW.O,CINF.O,CL.N,CLX.N,CTAS.O,CVX.N,DOV.N,ECL.N,ED.N,EMR.N,ESS.N,EXPD.O,FRT.N,GD.N,GPC.N,GWW.N,HRL.N,IBM.N,ITW.N,JNJ.N,KMB.N,KO.N,KVUE.N,LIN.N,LOW.N,MCD.N,MDT.N,MKC.N,MMM.N,NDSN.O,NEE.N,NUE.N,O.N,PEP.O,PG.N,PNR.N,PPG.N,ROP.O,SHW.N,SJM.N,SPGI.N,SWK.N,SYY.N,TGT.N,TROW.O,WBA.O,WMT.N,WST.N,XOM.N
2018-11-30,1.4008952331921194e-10,6.813666179651774e-11,0.0,0.0,0.0,0.0,2.221498565175902e-12,0.011265861741201979,0.0,0.0,1.7321468653284937e-10,0.0,0.0,3.651770008840481e-11,0.051957366496453536,0.0,2.168980376382946e-10,9.945790441198471e-11,0.01604428443972139,0.04678895098636516,0.16292744394614783,0.0,8.200080816427324e-11,0.0,0.0,9.836596487712321e-11,6.321397118313746e-11,3.319485010597617e-11,0.0,0.0,0.0,1.009539453280241e-10,0.0,5.92528077214616e-11,0.0,1.1020550564729479e-10,0.0,1.3060202070280392e-10,1.7206128159615898e-10,5.3504110872076645e-11,0.7110160938595883,1.830069605695588e-10,4.0451661819472836e-11,4.225249406986123e-11,1.3672145795237665e-10,6.398365166042813e-11,9.825945097861842e-11,0.0,0.0,3.106809746465729e-11,0.0,2.7196798323196416e-11,9.514491452122023e-11,1.540727469150416e-10,1.0653332425428289e-10,1.505921698157012e-10,1.9394598107164352e-12,0.0,0.0,6.766430564961864e-12,3.1494615331334685e-11,0.0,0.0,0.0,1.4563669717225506e-10,1.265950243083881e-10,0.0
2018-12-31,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
2019-01-31,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
2019-02-28,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
2019-03-31,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
2019-04-30,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
2019-05-31,0.10911025885977232,1.1323453779286688e-15,9.430387323339105e-16,1.5164548266802048e-14,2.8155226797232147e-15,0.14952940618777757,1.6077272679107137e-14,7.897804398092983e-14,1.1400173201918728e-14,2.4683410323876772e-14,1.163929077760093e-14,3.5060587571582806e-14,5.412002597745456e-15,2.0095674267397657e-14,1.0013420292060905e-14,5.515917184838881e-14,2.890248044547347e-14,2.4394972063664535e-14,1.4399756147848447e-14,3.0715560657101903e-14,1.6855289928919088e-14,0.04495027556948556,0.19314757181918638,6.795880463614464e-13,5.0613811974275744e-14,9.015245539832852e-16,2.9569154072367747e-14,3.988985597538454e-14,1.0957839110193967e-15,1.3692652084657649e-15,4.6821559572394216e-14,7.0844907356770035e-15,4.986017977791296e-15,0.11130556582387019,2.3511757555519347e-14,5.068429446716126e-16,3.775622056706207e-14,1.2607318444160565e-14,2.257010318592572e-14,1.5505271985519692e-14,3.2585312711351864e-14,0.0188290801690181,1.1456002768415458e-16,1.8411261516329254e-14,2.228810275746614e-14,3.997889593428002e-14,8.134245785763827e-14,2.1080841641031937e-14,0.3687568562314104,3.529287044776541e-14,8.718726800567783e-15,2.575372567551097e-14,1.841022939128396e-15,2.7255607266700932e-14,4.1885533208132274e-14,2.2737491945789677e-14,3.013103375635537e-14,1.2527911161285198e-14,8.804322128494445e-15,1.28034505787523e-13,4.1916411123949904e-14,8.213102969234433e-14,4.143924907241389e-14,8.412552992111151e-14,6.862761129661554e-15,0.004370985339034541,2.6160590561765025e-13
2019-06-30,0.0,3.872075111130283e-14,0.0,3.4426963248115014e-14,0.0,0.0,1.6668596128035855e-14,2.587127397280725e-14,0.0,9.764000908410271e-14,0.05254212039625902,7.637165671681994e-14,1.4222000156323865e-14,4.808521307429656e-14,0.0,0.0,0.0,0.026282494261768066,0.0,4.948363972187981e-15,0.0,2.7203965329851156e-14,1.7474804265643817e-14,7.103884453830475e-14,0.0,0.0,7.709630128010487e-14,7.814104935877125e-15,0.0,0.0,0.0,0.0,6.91654566285378e-14,0.027799552239081104,0.0,1.2446040695290318e-13,0.0,4.7014982290848667e-14,9.937741521464986e-13,0.0,0.7195164357989254,0.0,1.97090263537497e-14,3.769466024883438e-14,0.0,3.509543104639958e-14,0.0,0.02050537753731422,0.01930626598274035,0.0,9.832772274117098e-14,2.8122909962787933e-14,6.536449261138736e-14,0.0,0.0,1.3340771952506291e-14,4.025007808102844e-14,0.0,0.05624517705409643,4.769553192021818e-13,0.0,0.0,0.0,0.0,2.5414018006428508e-14,0.025965098356972745,0.05183747837412521
2019-07-31,0.0,2.1963779028583767e-12,0.1362951784326224,0.05800729740861749,0.0,0.06745380188218783,0.0,0.0,1.9302797278129755e-12,0.06417685760126668,0.1200821149352425,1.0093237443764422e-12,0.0,0.0,0.0,0.0,0.0,2.6222065212312697e-11,0.0260335791169682,0.0,0.0,0.0,0.086474838077538,2.4654286626539805e-11,2.394821788471515e-12,0.0,0.0,0.0,0.0,3.801877433429639e-12,3.3759803638954777e-13,0.0,0.0,0.0,0.0,1.1491294077926218e-12,1.960070052693422e-12,0.0,0.0,6.402237615826987e-14,0.0,0.0,0.0,1.826254479788011e-12,2.5471890635041803e-12,0.0,0.0,0.0,0.09987534281444028,1.6802787381735026e-10,7.803138215870388e-13,0.0,0.14140897515889997,0.01273422024425022,0.0,2.9562918990514407e-12,0.14449608226993346,0.0,0.0,4.606499504525275e-12,0.0,7.372510295419295e-12,6.963675957639981e-12,9.98724093111466e-13,0.04296171258929307,0.0,1.1335895020036523e-12
2019-08-31,5.36740675962066e-14,3.201539535821514e-15,2.4217883704743202e-14,0.0,0.028017962061433043,1.1094819672753368e-13,0.0,1.102095279314038e-14,0.0,8.891412007460046e-15,8.208186666730167e-15,8.481705651679163e-14,0.0,0.3215632411115188,5.691136017414998e-14,3.699287659523314e-14,0.0,0.0,0.0,0.0,0.0,3.8714649092122213e-16,0.0,5.377420448349331e-14,2.2341555225571024e-14,0.0,0.0,3.4726776366736634e-15,0.0,6.762668889177398e-14,0.0,0.0,1.2295118495081517e-14,1.0489612957716752e-12,0.0,1.1335686782903017e-14,1.8164802731640603e-14,5.636140375012355e-16,0.0,0.0,0.0,3.1808941823355698e-15,0.1285160575199209,0.0,0.0,3.987378961696025e-14,5.856848257597029e-14,6.220914719610566e-14,0.12340085452472786,4.5983367744362596e-14,0.0,0.0,0.0,8.640801827185684e-14,8.208494023467882e-15,2.1414226871079747e-14,0.0,0.0,2.5594729252734255e-14,1.1940916560135883e-13,0.2747265654632381,2.0506555256643997e-13,7.373535857948342e-14,9.522987220576971e-14,0.11033442005521638,1.651105381651783e-13,0.013440899262304152
