date,0
2019-12-27,10.0
2019-12-30,9.0
2019-12-31,9.0
2020-01-02,11.0
2020-01-03,8.0
2020-01-06,11.0
2020-01-07,10.0
2020-01-08,10.0
2020-01-09,12.0
2020-01-10,12.0
2020-01-13,9.0
2020-01-14,10.0
2020-01-15,14.0
2020-01-16,9.0
2020-01-17,11.0
2020-01-21,9.0
2020-01-22,11.0
2020-01-23,12.0
2020-01-24,9.0
2020-01-27,10.0
2020-01-28,9.0
2020-01-29,8.0
2020-01-30,13.0
2020-01-31,11.0
2020-02-03,9.0
2020-02-04,9.0
2020-02-05,10.0
2020-02-06,10.0
2020-02-07,10.0
2020-02-10,10.0
2020-02-11,11.0
2020-02-12,13.0
2020-02-13,14.0
2020-02-14,13.0
2020-02-18,12.0
2020-02-19,13.0
2020-02-20,11.0
2020-02-21,9.0
2020-02-24,9.0
2020-02-25,5.0
2020-02-26,4.0
2020-02-27,2.0
2020-02-28,3.0
2020-03-02,3.0
2020-03-03,2.0
2020-03-04,2.0
2020-03-05,2.0
2020-03-06,2.0
2020-03-09,1.0
2020-03-10,2.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,1.0
2020-03-23,1.0
2020-03-24,2.0
2020-03-25,1.0
2020-03-26,1.0
2020-03-27,2.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-06,1.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-13,6.0
2020-04-14,5.0
2020-04-15,6.0
2020-04-16,5.0
2020-04-17,4.0
2020-04-20,5.0
2020-04-21,5.0
2020-04-22,6.0
2020-04-23,7.0
2020-04-24,4.0
2020-04-27,5.0
2020-04-28,7.0
2020-04-29,7.0
2020-04-30,6.0
2020-05-01,6.0
2020-05-04,6.0
2020-05-05,5.0
2020-05-06,8.0
2020-05-07,5.0
2020-05-08,7.0
2020-05-11,5.0
2020-05-12,6.0
2020-05-13,5.0
2020-05-14,5.0
2020-05-15,5.0
2020-05-18,9.0
2020-05-19,7.0
2020-05-20,7.0
2020-05-21,6.0
2020-05-22,6.0
2020-05-26,5.0
2020-05-27,5.0
2020-05-28,6.0
2020-05-29,6.0
2020-06-01,6.0
2020-06-02,6.0
2020-06-03,6.0
2020-06-04,8.0
2020-06-05,8.0
2020-06-08,7.0
2020-06-09,9.0
2020-06-10,8.0
2020-06-11,7.0
2020-06-12,7.0
2020-06-15,5.0
2020-06-16,8.0
2020-06-17,7.0
2020-06-18,7.0
2020-06-19,7.0
2020-06-22,6.0
2020-06-23,7.0
2020-06-24,4.0
2020-06-25,5.0
2020-06-26,5.0
2020-06-29,4.0
2020-06-30,4.0
2020-07-01,4.0
2020-07-02,3.0
2020-07-06,2.0
2020-07-07,3.0
2020-07-08,2.0
2020-07-09,2.0
2020-07-10,5.0
2020-07-13,7.0
2020-07-14,7.0
2020-07-15,7.0
2020-07-16,5.0
2020-07-17,7.0
2020-07-20,6.0
2020-07-21,7.0
2020-07-22,7.0
2020-07-23,7.0
2020-07-24,6.0
2020-07-27,9.0
2020-07-28,9.0
2020-07-29,9.0
2020-07-30,9.0
2020-07-31,9.0
2020-08-03,9.0
2020-08-04,9.0
2020-08-05,7.0
2020-08-06,8.0
2020-08-07,7.0
2020-08-10,11.0
2020-08-11,9.0
2020-08-12,9.0
2020-08-13,10.0
2020-08-14,9.0
2020-08-17,9.0
2020-08-18,10.0
2020-08-19,10.0
2020-08-20,12.0
2020-08-21,12.0
2020-08-24,12.0
2020-08-25,12.0
2020-08-26,12.0
2020-08-27,9.0
2020-08-28,12.0
2020-08-31,13.0
2020-09-01,13.0
2020-09-02,13.0
2020-09-03,7.0
2020-09-04,6.0
2020-09-08,7.0
2020-09-09,7.0
2020-09-10,5.0
2020-09-11,4.0
2020-09-14,5.0
2020-09-15,6.0
2020-09-16,6.0
2020-09-17,7.0
2020-09-18,5.0
2020-09-21,6.0
2020-09-22,5.0
2020-09-23,4.0
2020-09-24,4.0
2020-09-25,4.0
2020-09-28,3.0
2020-09-29,3.0
2020-09-30,4.0
2020-10-01,3.0
2020-10-02,2.0
2020-10-05,4.0
2020-10-06,5.0
2020-10-07,5.0
2020-10-08,5.0
2020-10-09,5.0
2020-10-12,6.0
2020-10-13,5.0
2020-10-14,6.0
2020-10-15,5.0
2020-10-16,7.0
2020-10-19,5.0
2020-10-20,5.0
2020-10-21,6.0
2020-10-22,6.0
2020-10-23,9.0
2020-10-26,7.0
2020-10-27,6.0
2020-10-28,5.0
2020-10-29,5.0
2020-10-30,7.0
2020-11-02,4.0
2020-11-03,5.0
2020-11-04,5.0
2020-11-05,7.0
2020-11-06,8.0
2020-11-09,4.0
2020-11-10,4.0
2020-11-11,6.0
2020-11-12,6.0
2020-11-13,8.0
2020-11-16,7.0
2020-11-17,6.0
2020-11-18,6.0
2020-11-19,5.0
2020-11-20,5.0
2020-11-23,5.0
2020-11-24,5.0
2020-11-25,5.0
2020-11-27,10.0
2020-11-30,9.0
2020-12-01,10.0
2020-12-02,7.0
2020-12-03,7.0
2020-12-04,7.0
2020-12-07,7.0
2020-12-08,6.0
2020-12-09,7.0
2020-12-10,6.0
2020-12-11,5.0
2020-12-14,5.0
2020-12-15,4.0
2020-12-16,4.0
2020-12-17,6.0
2020-12-18,10.0
2020-12-21,7.0
2020-12-22,9.0
2020-12-23,11.0
2020-12-24,10.0
2020-12-28,11.0
2020-12-29,7.0
2020-12-30,8.0
2020-12-31,10.0
2021-01-04,6.0
2021-01-05,7.0
2021-01-06,7.0
2021-01-07,7.0
2021-01-08,8.0
2021-01-11,7.0
2021-01-12,7.0
2021-01-13,9.0
2021-01-14,7.0
2021-01-15,10.0
2021-01-19,8.0
2021-01-20,10.0
2021-01-21,8.0
2021-01-22,7.0
2021-01-25,7.0
2021-01-26,8.0
2021-01-27,9.0
2021-01-28,8.0
2021-01-29,9.0
2021-02-01,5.0
2021-02-02,5.0
2021-02-03,7.0
2021-02-04,9.0
2021-02-05,10.0
2021-02-08,9.0
2021-02-09,9.0
2021-02-10,9.0
2021-02-11,10.0
2021-02-12,11.0
2021-02-16,10.0
2021-02-17,9.0
2021-02-18,9.0
2021-02-19,10.0
2021-02-22,9.0
2021-02-23,9.0
2021-02-24,9.0
2021-02-25,9.0
2021-02-26,5.0
2021-03-01,7.0
2021-03-02,6.0
2021-03-03,7.0
2021-03-04,6.0
2021-03-05,7.0
2021-03-08,6.0
2021-03-09,4.0
2021-03-10,4.0
2021-03-11,4.0
2021-03-12,5.0
2021-03-15,7.0
2021-03-16,8.0
2021-03-17,6.0
2021-03-18,6.0
