,ABBV.N,ABT.N,ADM.N,ADP.O,AFL.N,ALB.N,AOS.N,APD.N,ATO.N,BDX.N,BEN.N,BFb.N,BRO.N,CAH.N,CAT.N,CB.N,CHD.N,CHRW.O,CINF.O,CL.N,CLX.N,CTAS.O,CVX.N,DOV.N,ECL.N,ED.N,EMR.N,ESS.N,EXPD.O,FRT.N,GD.N,GPC.N,GWW.N,HRL.N,IBM.N,ITW.N,JNJ.N,KMB.N,KO.N,LIN.N,LOW.N,MCD.N,MDT.N,MKC.N,MMM.N,NDSN.O,NEE.N,NUE.N,O.N,PEP.O,PG.N,PNR.N,PPG.N,ROP.O,SHW.N,SJM.N,SPGI.N,SWK.N,SYY.N,TGT.N,TROW.O,WBA.O,WMT.N,WST.N,XOM.N
2019-01-09,1.1837034017157853e-13,0.0,1.1099058766786624e-13,0.0,1.9849554255814905e-13,0.0,0.6626849174177766,1.352046292023065e-13,2.1450197692064457e-13,0.0,0.0,3.7465154278912067e-13,3.015801335709026e-13,0.0,0.0,2.1326958931601107e-13,2.8851904609271304e-13,2.7892706539867323e-14,7.93335379907772e-15,2.1429705799673222e-13,1.745870111119214e-13,4.984478248143765e-14,0.0,0.0,0.0,1.0302939529453613e-13,3.6637553614324244e-14,1.1518870476222214e-13,0.0,0.0,0.0,2.181206234802898e-13,1.1470452923530564e-14,2.406811966628785e-13,0.0,0.0,0.0,2.0850931896618103e-13,2.586488871149564e-13,2.996663238560929e-13,0.29273356365872183,3.09720002000386e-13,0.0,0.0,0.0,0.04458151891932861,2.816105957939238e-13,0.0,1.247859820526519e-13,2.7076739700006778e-14,1.7113901665662436e-13,0.0,2.0026591794675048e-13,0.0,0.0,4.676942161453569e-13,3.454455625429022e-14,5.607914688660834e-12,2.7708364576268194e-13,1.576760708121266e-13,0.0,0.0,3.523479333162887e-13,0.0,0.0
2019-01-10,9.997434931447322e-14,0.0,1.2422402528177077e-13,0.0,1.6418868749485373e-13,0.0,0.6174558140152614,1.5097613092877722e-13,1.8908857090015254e-13,0.0,0.0,2.2516187337703205e-13,2.2998282702710304e-13,0.0,8.962637595118666e-15,2.3343697041897434e-13,1.3843566815968525e-13,0.0,5.280994815406283e-14,1.0169976447508584e-13,7.967717808926933e-14,1.4702832402952728e-13,0.0,0.0,0.0,3.061607237616407e-14,7.021690241151967e-14,5.95132619708849e-14,0.0,0.0,0.0,1.6136011883728007e-13,0.0,1.623450893519038e-13,4.702840056023686e-14,0.0,0.0,1.3652954262013183e-13,1.5665930943146105e-13,2.686781267140972e-13,1.2076403877747735e-13,2.4558752810761997e-13,0.0,0.0,0.0,0.38254418598587064,1.9014051132750524e-13,0.0,9.653779777325968e-14,0.0,9.01403139077171e-14,0.0,1.8036785475189214e-13,0.0,8.12667417893695e-14,3.1884077447601493e-13,1.652911412378282e-13,0.0,1.8665873576414797e-13,2.112703769858188e-13,0.0,0.0,3.048623566271123e-13,0.0,0.0
2019-01-11,0.0,5.786254093572865e-13,0.0,5.197634355944324e-13,0.03491058537704764,1.2984064665890156e-12,0.5836173376944542,0.0,0.0,3.8052336210772333e-13,2.9732718100338395e-13,0.0,0.0,6.142307816611008e-13,4.090064556644339e-13,0.0,0.0,2.950408536133717e-13,5.5118376745971906e-14,0.0,0.0,1.381447844219142e-13,3.3540073003485536e-13,4.1841752258201186e-13,2.833486166738335e-13,0.0,2.6156854822234294e-15,0.0,5.544107545065361e-13,0.0,2.31257944310113e-13,0.0,2.2318935572628218e-13,0.0,1.6672291907914593e-13,2.4978674863261923e-13,5.682888490685892e-13,0.0,0.0,1.1646978515702053e-15,0.0,0.0,4.794614702629217e-13,1.4001730886188022e-13,6.033748356520279e-13,0.19823790860657803,0.0,3.385142100237195e-13,0.0,0.0,0.0,2.428336572782668e-13,0.0,5.320007775520931e-13,1.57784894585297e-13,0.0,8.549794915596886e-14,0.18323416831598333,0.0,0.0,4.912493923319507e-13,9.918948095967837e-13,0.0,4.440626438945034e-13,4.640390051156116e-13
2019-01-14,0.0,0.0,0.0,0.0,3.981941143431853e-14,0.0,0.799958073638827,0.0,5.701266208659538e-14,0.0,0.0,2.879617393509811e-14,1.8350536932363587e-14,0.0,0.0,6.190356361454914e-14,7.956429104834691e-14,0.0,2.0561614464933e-14,0.0,6.198317525169345e-14,1.694938913673991e-14,0.0,0.0,0.0,0.0,2.4237181001009845e-14,2.2325835483956462e-14,0.0,0.0,0.0,2.69746443518256e-15,0.0,5.901998067745821e-14,0.0,0.0,0.0,8.406802138815194e-14,1.9513084509255743e-14,0.0,0.0,5.4385119492232176e-14,0.0,0.0,0.0,0.0,3.1863015662666456e-14,0.0,4.514045239728756e-14,0.0,1.938320587185436e-14,0.0,4.09689465113611e-14,0.0,0.0,0.17330627569587564,0.0,4.030491791959786e-13,8.979506603643689e-15,6.09161910132755e-15,0.0,0.0,0.026735650666759994,0.0,0.0
2019-01-15,2.4912171944860334e-13,6.032126670274076e-13,9.53166774156436e-14,6.732541103689567e-13,0.0,1.5770396116226062e-12,0.5450571639702998,2.567828825972594e-13,0.0,3.8091393399294816e-13,3.6291783345078267e-13,0.0,0.0,4.036164689963779e-13,7.857445364926362e-13,0.0,0.0,5.541110711505544e-13,6.074491877707604e-14,0.0,0.0,1.942748004383523e-13,4.598400790649528e-13,4.3245586612136844e-13,4.3772630719163373e-13,7.368018738255574e-15,6.171859603351055e-14,0.0,7.938851450147303e-13,1.0419910919029436e-13,3.4808120103106665e-13,0.0,4.09039586259634e-13,0.0,3.599970341802475e-13,4.049408058175295e-13,8.208086769275098e-14,0.0,0.0,3.997694209356308e-13,2.4418268607325643e-13,0.0,4.5388151391037096e-13,1.6813146217279337e-14,8.494563285071289e-13,3.259365123266658e-13,0.0,6.55500429544349e-13,0.0,5.719749446351529e-14,0.0,4.5314752255357833e-13,6.1417983226629586e-15,5.942124319277773e-13,4.803881770290012e-13,0.1800214526746998,0.12032671280625017,5.691307423048046e-13,0.0,0.0,5.59784622277945e-13,9.616520534550264e-13,0.15459467053383114,4.586979194329885e-13,6.667696826803161e-13
2019-01-16,0.0,0.0,6.60242942314361e-14,0.0,4.2008803328200104e-13,0.0,0.32916089260593917,0.0,4.1478250791797256e-13,0.0,0.0,2.3493334824061163e-13,4.715639220334896e-13,0.0,0.0,2.824843732671878e-13,6.96656668793462e-13,0.0,6.603040954968081e-14,3.0420897959579366e-13,2.6800684555789606e-13,1.2975980460244704e-13,0.0,0.0,0.0,0.0,2.9434416667843775e-13,5.371049482697493e-13,0.0,6.794898903995242e-14,0.0,3.920357426811149e-13,0.0,5.261394412797895e-13,0.0,0.0,3.456607136518057e-14,2.408483802182556e-13,9.244035996095523e-14,0.0,1.818133667879035e-13,4.4112391991653275e-13,0.0,8.286091728334308e-15,0.0,1.3376589089598798e-13,4.290251071584568e-13,0.0,4.653339372457432e-13,0.0,3.306633474257328e-14,0.0,4.83052123086232e-13,0.0,0.0,0.2019325606165111,0.4490715819249549,0.0,1.3928278892559387e-13,8.938268784521945e-13,0.0,0.0,0.01983496485950955,0.0,0.0
2019-01-17,0.0,0.0,6.262416169424525e-13,0.0,2.5780637311790977e-13,0.0,0.04072477201486702,0.0,7.59563611788028e-13,0.0,0.0,4.674786368764741e-13,8.191274544916932e-13,0.0,0.0,5.159484294145586e-13,1.0626181531613911e-12,0.0,0.0,8.277591783486923e-13,2.7312103544840563e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.643240775992368e-13,0.0,8.951502695297208e-14,0.0,4.996814631175402e-13,0.0,6.418691595425945e-13,0.0,0.0,0.0,0.0,1.7521035383673784e-13,0.0,1.4977366585933695e-13,8.039197568328688e-13,0.0,0.0,0.0,0.0,8.676909026590949e-13,0.0,3.06806776056467e-13,0.0,2.060074115718899e-13,0.0,0.40741263242851017,0.0,0.0,0.5271614561633631,0.024701139424327476,0.0,1.8786421642977957e-13,1.0572146245465563e-12,0.0,0.0,1.42250660551374e-12,0.0,0.0
2019-01-18,8.237033048510012e-14,0.0,0.0,0.0,1.0934316104182686e-12,0.0,0.20318246094822423,0.0,1.2752646903095172e-12,0.0,4.391181366158656e-13,7.822609034139897e-13,1.0339073367949576e-12,0.0,0.0,7.391436770273441e-13,1.2178106006464198e-12,0.0,2.266872661697722e-13,9.828551176926286e-14,1.681173571141532e-13,6.57655797326448e-14,0.0,0.0,0.0,1.2761087836036015e-13,2.9198933318016827e-13,7.657405966360277e-13,0.0,0.0,0.0,6.591502360147818e-13,1.4524269713746979e-13,6.56255169631587e-13,0.0,0.0,5.870170427463337e-14,0.0,1.9857842814770273e-13,0.0,0.0,1.212746599350389e-13,0.0,0.0,0.0,2.6006620403707674e-13,1.0040794120387252e-12,0.0,1.210728861319247e-13,4.709570523509837e-13,0.0,0.0,0.06518983974213846,0.0,0.0,0.4351615173055475,0.1344890704371898,0.0,0.0,0.16197711161224979,4.5325682518741226e-13,0.0,8.273627408572046e-13,0.0,0.0
2019-01-22,8.309995702393364e-11,0.0,4.1201959570997246e-12,1.1262645487769736e-11,0.0,1.167811274588796e-10,3.910791965375051e-11,1.790075825660118e-11,0.031239374407557138,0.0,0.0,5.170554876051571e-11,0.0,1.5974207213755768e-11,8.18336442829915e-11,0.0,3.1198654246747684e-11,2.1796864278074134e-11,0.0,9.776388962289434e-12,0.0,0.0,4.690550930529234e-12,1.5345028338133062e-09,0.0,1.1336065803498533e-11,3.1261164101741418e-12,1.030952485481685e-11,1.79698470118277e-11,5.829863353614117e-11,0.2141648013870157,1.4351730428810458e-11,2.303846866127739e-11,3.3947662376973545e-11,0.0,3.415286834149254e-11,5.072346342931625e-11,4.6704669095665846e-11,3.500007170455111e-11,1.5738035403462648e-11,9.345909584545239e-11,0.0,0.0,5.2274228155622925e-11,3.24130595772251e-11,4.385591318445133e-11,0.0,5.723479492881747e-11,3.674949737944285e-11,2.06712855260074e-11,2.0036374486594162e-11,3.0919032097700666e-11,8.837885400812275e-12,6.549029471233242e-12,6.617767188083127e-11,0.6447593028170981,0.0,1.5492885479002312e-10,1.7262256018277057e-11,0.0,0.0,1.9501218998060316e-11,0.10983651866107738,1.1788658310052403e-11,2.9062360699260388e-11
2019-01-23,0.0,0.0,2.8040750724273375e-13,0.0,3.370482992564766e-13,0.0,1.0796823662896678e-13,0.0,0.055510825912438784,1.485894175799029e-13,3.0350767821838635e-13,0.0,3.1628538150765244e-13,1.9050101517862183e-13,0.0,2.698962860780982e-13,4.0519709735474594e-14,0.0,2.180639485598173e-13,3.316695388879864e-13,2.2763979537824603e-13,1.351717691200189e-13,0.0,1.3089328722456969e-11,8.616425347729212e-14,3.1673896259787553e-13,8.562893113045635e-14,4.929744628969989e-13,0.0,1.0887947824196925e-13,0.15294961971394275,1.6809304901213681e-13,0.0,1.1949092378338093e-13,0.11187412997125475,0.0,0.0,0.0,5.18826340200928e-14,2.6180750273819476e-14,0.0,4.955938580234134e-13,1.0961828805944747e-13,2.354320780318907e-14,0.0,0.0,4.183862716360401e-13,0.0,1.9029992050103514e-13,1.174861660389557e-13,0.0,0.0,1.0491611750885361e-13,0.0,0.0,0.571059208049088,2.5246279341198334e-13,0.0,2.275548008403552e-13,4.206853294980242e-13,7.880439674420009e-14,5.4064058533718437e-14,0.10860621634043963,1.366485386601952e-13,0.0
